Country of Citizenship,2015,2016,2017,2018,2019,2020,2021,2022,2023
Afghanistan,95,115,95,80,95,90,80,170,140
Albania,115,165,185,245,375,250,305,345,545
Algeria,1060,845,1020,1490,2690,2170,3165,5360,7180
Andorra,0,0,0,0,0,0,10,5,0
Angola,65,80,40,25,120,30,50,75,65
Anguilla,0,0,0,0,0,0,0,0,0
Antigua and Barbuda,60,80,100,85,80,55,85,75,80
Argentina,160,180,200,230,275,190,585,620,530
Armenia,20,25,15,15,15,5,55,60,65
Aruba,0,0,0,0,0,0,0,0,0
Australia,480,490,490,470,415,260,360,360,395
Austria,110,150,120,145,135,60,300,235,110
Azerbaijan,70,115,125,130,160,110,220,180,300
"Bahama Islands, The",445,685,785,820,865,525,810,780,725
Bahrain,25,45,45,30,30,20,50,45,40
Bangladesh,1400,1875,2945,4335,5080,3430,6860,7640,8830
Barbados,190,235,240,265,300,180,365,315,340
Belarus,45,60,40,55,70,40,70,80,100
Belgium,315,420,425,400,555,315,1200,790,680
Belize,60,90,85,80,75,50,75,75,85
"Benin, Republic of",420,405,370,390,515,350,470,640,1260
Bermuda,0,0,0,0,50,10,60,15,20
Bhutan,5,15,30,20,105,95,180,310,690
Bolivia,50,55,55,95,85,55,210,260,280
"Bonaire, Sin Eustatius And Saba",0,0,0,0,0,0,0,0,0
Bosnia-Herzegovina,15,25,10,20,35,20,75,65,65
"Botswana, Republic of",50,65,65,45,60,60,40,55,65
Brazil,6625,7735,9565,10950,10835,6520,8780,10680,9705
Brunei,0,5,10,10,10,0,10,15,20
Bulgaria,35,55,40,60,65,40,70,35,40
Burkina-Faso,365,365,385,425,590,470,685,775,970
Burundi,140,265,255,340,280,200,265,355,655
Cambodia,135,110,70,90,135,80,110,145,195
"Cameroon, Federal Republic of",1100,1165,1070,1320,1640,1145,1860,3085,5230
Cape Verde Islands,0,0,0,0,0,0,0,0,0
Cayman Islands,0,0,0,0,0,0,0,0,5
Central African Republic,25,25,40,25,35,10,20,20,45
"Chad, Republic of",55,85,45,75,90,55,110,150,185
Chile,360,440,490,555,575,475,1425,1445,1400
"China, People's Republic of",68350,80525,87290,89200,87675,61010,58380,54160,57440
Colombia,1380,1785,2570,3540,4695,3370,7180,10650,9945
Comoros,0,5,0,10,10,0,10,20,40
"Congo, Democratic Republic of the",470,575,475,850,1330,845,1740,2675,3670
"Congo, People's Republic of the",170,165,135,160,175,120,215,225,250
Costa Rica,80,90,120,115,120,85,185,205,215
Croatia,100,85,65,60,45,35,35,45,30
Cuba,75,80,75,95,95,80,180,190,220
Curacao,0,0,0,0,0,0,0,0,0
Cyprus,10,5,5,5,20,0,20,5,10
Czech Republic,115,140,155,160,155,85,260,160,140
Denmark,100,105,105,110,100,40,285,145,105
"Djibouti, Republic of",25,40,35,55,50,20,40,55,95
Dominica,5,20,30,60,45,30,55,65,75
Dominican Republic,170,235,235,305,295,215,545,670,780
"East Timor, Democratic Republic of",0,0,0,0,0,0,0,0,0
Ecuador,410,545,665,785,895,630,1645,1900,2360
Egypt,830,1060,1285,1345,1600,1055,1935,1710,1655
El Salvador,180,225,280,290,275,195,270,405,360
"Equatorial Guinea, Republic of",0,0,20,5,20,0,0,5,5
Eritrea,85,110,225,155,85,65,40,35,35
Estonia,15,25,10,20,0,5,15,5,5
Ethiopia,145,225,260,325,320,230,325,475,775
Fiji,5,25,25,10,15,10,30,25,50
Finland,95,125,125,120,110,50,180,125,75
France,12125,12150,13570,13690,14825,8390,20630,17090,15400
French Guiana,0,0,0,0,0,0,0,0,0
French Polynesia,0,0,0,0,25,0,30,0,10
Gabon Republic,80,75,90,90,105,90,135,165,190
Gambia,50,60,55,65,85,50,105,115,180
Georgia,10,15,10,5,5,0,10,25,60
Germany,2060,2265,2250,2255,2305,815,5240,4305,2430
Ghana,810,895,935,880,1375,860,1275,2750,6310
Greece,140,190,200,175,175,140,195,170,150
Grenada,25,40,40,40,30,40,50,40,35
Guadeloupe,0,0,0,0,0,0,0,0,0
Guatemala,50,70,65,75,80,50,135,175,200
"Guinea, Republic of",190,300,300,365,485,350,775,1245,3040
Guinea-Bissau,0,0,0,0,0,0,0,0,0
Guyana,120,190,205,265,335,220,335,320,295
Haiti,375,475,445,495,545,515,980,1560,2145
Holy See,0,0,0,0,0,0,0,0,0
Honduras,75,130,145,180,170,120,270,375,375
Hong Kong SAR,2180,2495,2555,2560,2580,2735,6605,9815,7545
Hungary,110,120,110,100,105,55,125,110,100
Iceland,40,40,40,30,40,30,25,35,15
India,32465,53450,84290,109290,140250,84590,174595,232640,220035
"Indonesia, Republic of",775,840,990,1240,1330,830,1645,1720,1700
Iran,2405,3095,4860,7260,10060,7435,12420,13890,13735
Iraq,120,160,150,215,170,140,235,235,275
"Ireland, Republic of",230,235,210,155,170,115,270,255,185
Israel,395,445,485,450,525,420,630,495,645
Italy,1025,1430,1475,1480,1490,840,3025,2450,1670
"Ivory Coast, Republic of",665,715,755,965,1235,935,2010,2185,4080
Jamaica,1380,1740,1575,1740,2095,1330,1765,1675,1895
Japan,6300,7010,6845,6975,6925,3735,8155,11640,8020
Jordan,295,420,470,645,950,680,1470,1850,1480
Kazakhstan,495,620,660,720,690,390,740,525,765
Kenya,440,695,810,1050,1085,870,1230,1355,1885
"Korea, People's Democratic Republic of",0,0,5,0,0,0,0,0,0
"Korea, Republic of",15870,17230,18010,18010,17915,11805,11145,12095,10390
"Kosovo, Republic of",40,45,15,45,30,40,65,50,100
Kuwait,140,150,170,150,170,100,235,265,275
Kyrgyzstan,10,35,55,65,70,60,95,90,130
Laos,5,10,10,5,10,0,10,10,30
Latvia,25,30,30,30,40,15,25,20,20
Lebanon,420,500,510,530,585,570,1370,1370,1195
Lesotho,0,0,0,0,0,0,5,0,0
Liberia,5,5,10,0,10,5,15,35,85
Libya,1480,1030,805,530,540,480,310,340,340
Liechtenstein,0,0,0,0,0,0,0,0,0
Lithuania,45,35,50,35,45,25,35,30,20
Luxembourg,30,30,30,15,30,15,60,40,50
Macau SAR,195,195,200,225,195,150,115,145,145
Macedonia,10,30,10,10,5,10,35,50,35
Madagascar,120,180,185,170,210,190,335,425,560
Malawi,10,20,20,25,20,15,25,45,45
Malaysia,625,655,670,690,655,425,590,645,560
"Maldives, Republic of",0,0,0,0,0,0,0,0,0
"Mali, Republic of",380,440,425,475,515,470,570,665,960
Malta,0,0,0,0,5,0,5,0,5
"Marshall Islands, Republic of the",0,0,0,0,0,0,0,0,0
Martinique,0,0,0,0,0,0,0,0,0
Mauritania,35,30,60,65,65,55,80,80,145
Mauritius,390,520,625,620,645,290,640,810,780
Mexico,4325,5040,5620,5905,6415,3920,10055,10670,10820
"Micronesia, Federated States of",0,0,0,0,0,0,0,0,0
Moldova,50,45,50,55,45,20,40,55,65
Monaco,5,0,0,0,0,0,0,0,0
"Mongolia, People's Republic of",120,165,140,145,150,90,200,260,360
"Montenegro, Republic of",5,0,0,0,0,0,50,45,70
Morocco,1510,1560,1815,2200,3150,2595,4415,4710,6210
Mozambique,5,0,5,5,10,0,30,30,40
Myanmar (Burma),25,25,30,40,120,65,225,430,550
Namibia,10,10,10,10,5,10,0,10,15
Nepal,150,220,340,540,770,560,1825,6920,12295
"Netherlands Antilles, The",0,0,0,0,0,0,0,0,0
"Netherlands, The",280,335,355,385,340,160,525,380,325
New Caledonia,5,0,5,0,0,0,0,0,0
New Zealand,110,135,110,115,135,75,85,110,105
Nicaragua,10,10,25,25,60,10,85,115,115
"Niger, Republic of the",110,120,85,115,140,115,155,165,255
Nigeria,6610,6545,6300,6865,7820,6275,10105,16985,33600
Norway,165,155,170,140,140,40,120,100,90
Oman,85,75,65,80,90,40,135,90,55
Other,25,30,40,10,0,0,0,0,0
Pakistan,2420,2715,2145,2145,2240,1685,3435,4050,4430
"Palau, Republic of",0,0,0,0,0,0,0,0,0
Palestinian Authority (Gaza/West Bank),85,120,130,150,175,140,210,210,185
"Panama, Republic of",110,115,150,415,210,165,330,480,350
Papua New Guinea,0,0,0,0,0,0,0,0,0
Paraguay,5,40,25,20,15,5,10,35,30
Peru,295,415,520,585,710,490,1735,3320,2955
Philippines,1950,3035,2910,4250,6480,4620,14800,25770,29690
Poland,185,190,175,180,185,95,190,175,150
Portugal,270,270,320,260,225,185,330,285,250
Qatar,15,20,10,10,15,5,15,30,10
Reunion,0,0,0,0,0,0,0,0,0
Romania,125,120,140,155,155,95,125,145,125
Russia,1605,1565,1520,1500,1590,1080,1745,1310,1860
Rwanda,230,350,460,560,705,455,660,960,1840
Saint-Martin,0,0,0,0,0,0,0,0,0
"Samoa, Independent State of",0,0,0,0,0,0,0,0,0
San Marino,0,0,0,0,0,0,0,0,0
Sao Tome and Principe,0,0,0,0,0,0,0,0,0
Saudi Arabia,8165,5815,5325,2960,1265,770,580,495,495
Senegal,775,735,735,830,1140,880,1625,2130,3565
"Serbia, Republic of",95,100,120,105,130,125,185,165,165
Seychelles,0,0,0,0,0,0,0,0,0
Sierra Leone,15,20,25,45,30,20,35,55,65
Singapore,320,290,320,330,360,230,395,445,415
Sint-Maarten,0,0,0,0,0,0,10,0,0
Slovak Republic,130,160,140,120,135,70,160,135,90
Slovenia,20,10,15,20,10,10,20,10,5
Solomon Islands,0,5,0,5,0,0,0,0,0
"Somalia, Democratic Republic of",20,80,85,70,60,40,20,10,0
"South Africa, Republic of",300,345,375,370,500,415,835,905,870
"South Sudan, Republic of",0,5,0,0,0,5,5,5,15
Spain,1110,1435,1615,1810,1925,605,2670,2770,2220
Sri Lanka,300,420,455,585,985,835,1915,3660,4525
St. Kitts-Nevis,35,35,45,50,40,40,45,60,45
St. Lucia,90,90,90,105,75,60,70,75,85
St. Vincent and the Grenadines,30,40,55,20,25,25,30,40,25
Stateless,75,80,110,110,120,90,110,125,145
"Sudan, Democratic Republic of",75,95,150,150,190,170,190,175,180
Surinam,10,10,15,0,10,5,0,15,10
Swaziland,0,5,5,0,0,0,15,5,0
Sweden,205,205,225,210,185,115,320,185,120
Switzerland,460,450,545,505,440,215,695,535,405
Syria,220,190,245,270,280,200,210,250,295
Taiwan,2410,2875,3145,3475,3670,2325,2350,2760,3285
Tajikistan,0,10,15,10,10,10,20,35,70
"Tanzania, United Republic of",315,375,390,380,440,335,465,475,555
Thailand,835,860,890,995,990,590,1330,2385,2250
"Togo, Republic of",295,265,285,295,465,285,350,535,1250
Tonga,0,0,0,0,0,0,0,0,0
"Trinidad and Tobago, Republic of",220,230,325,395,460,205,445,620,625
Tunisia,1075,1200,1230,1305,1530,1390,1935,2590,3195
Turkey,1665,2335,3095,3280,3405,2025,4075,3350,3920
Turkmenistan,5,5,5,15,10,10,5,0,20
Turks and Caicos Islands,0,0,0,0,0,0,0,0,0
Tuvalu,0,0,0,0,0,0,0,0,0
Uganda,170,270,275,390,455,295,385,495,700
Ukraine,1555,2050,1960,1765,1585,1030,1475,6965,5955
United Arab Emirates,55,35,30,45,35,25,50,65,190
United Kingdom and Overseas Territories,2060,2270,2320,2055,1975,1065,2500,2325,2080
United States Minor Outlying Islands,0,0,0,0,0,0,0,0,0
United States of America,5815,6405,7105,6675,6820,4405,8445,7180,7735
Uruguay,10,15,30,35,50,35,50,30,35
Uzbekistan,25,35,25,20,30,25,50,75,175
Vanuatu,0,0,0,0,0,0,0,0,0
Venezuela,1695,1545,1300,865,660,605,570,660,590
Vietnam,2980,5495,10130,12700,12130,9990,9670,10365,10280
"Virgin Islands, British",0,0,0,0,0,0,0,0,0
Western Sahara,0,0,0,0,0,0,0,0,0
Yemen,175,210,265,275,275,260,210,170,155
Zambia,120,125,120,125,135,105,130,170,195
Zimbabwe,335,500,445,440,375,345,525,700,730
